ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,,,ECG_DATA_STORE
0.4913,3.5764,8.1782,0.5753,3.9153,8.9727,-0.5912,-0.2709,-1.0162,0.1439,0.0625,0.0036,13.986,19.01,-6.38,10.01,241.44,-23.53,-3.67,2,69.071,13.043694,77.600525,2591.35,NaN,54.79,15.289753,270.8,0 / 20,54,2021-03-13 18:17:58:576,,,-0.06
0.8019,4.0108,9.5538,0.5073,3.8753,8.9942,-0.4993,0.0076,-1.0941,-0.0513,0.0035,-0.044,11.1888,21.62,-6.27,7.73,246.94,-23.28,-3.23,2,69.371,13.042003,77.59693,2651.67,NaN,46.26,21.97301,244.7,0 / 22,551,2021-03-13 18:17:59:073,,,-0.065
0.3107,3.2433,8.4084,0.2841,3.7498,9.057,0.5215,0.0157,1.5689,-0.041,-0.0083,-0.0872,13.986,22.36,-5.36,7.09,250.3,-22.72,-2.89,2,66.835,13.042003,77.59693,2651.67,NaN,46.26,21.97301,244.7,0 / 22,1051,2021-03-13 18:17:59:573,,,-0.06
0.8829,2.9933,10.6719,0.274,3.6133,9.1126,-0.1038,-0.1675,-1.3332,0.3205,0.2997,-0.014,13.986,22.49,-4.36,7.14,253.6,-22.19,-0.7,2,68.363,13.041929,77.5968,2664.87,NaN,46.55,17.848845,248.1,16 / 24,1551,2021-03-13 18:18:00:073,,,-0.075
-0.3281,3.5556,8.4501,0.1732,3.8046,9.0369,-0.3929,-0.5093,-1.0164,-0.0938,-0.2409,0.0467,13.986,24.17,-3.04,7.8,255.77,-22.83,-1.1,2,67.142,13.041929,77.5968,2664.87,NaN,46.55,17.848845,248.1,16 / 24,2051,2021-03-13 18:18:00:573,,,-0.065
-0.4208,2.929,10.3548,-0.0691,3.7072,9.0787,-0.0013,0.1836,2.1357,0.0634,-0.0541,0.0517,16.7832,24.44,-2.74,8.48,256.6,-22.21,0.44,2,68.627,13.041917,77.59669,2646.18,NaN,44.1,17.164137,255.1,19 / 25,2551,2021-03-13 18:18:01:073,,,-0.07
-1.0799,0.8143,10.1192,-0.2344,2.1156,9.5729,0.8713,0.7788,-1.522,-2.0581,1.0994,0.865,11.1888,24.63,-1.22,6.01,261.8,-22.12,-2.32,2,67.89,13.041917,77.59669,2646.18,NaN,44.1,17.164137,255.1,19 / 25,3051,2021-03-13 18:18:01:573,,,-0.07
-1.6866,-0.5712,10.2252,-0.476,1.3618,9.7,-0.2414,-1.4266,2.3795,1.7653,-0.0963,-0.0954,5.5944,23.79,-2.64,5.02,262.57,-2.23,2.34,2,71.213,13.041879,77.59657,2639.35,NaN,45.79,16.373991,255,19 / 27,3552,2021-03-13 18:18:02:074,,,-0.09
1.3354,5.9904,6.1754,-1.0682,7.2004,6.5714,2.9566,-0.5932,0.2237,1.369,0.7279,-0.733,11.1888,28.16,8.5,4.11,277.2,-36.61,-1.78,2,68.328,13.041879,77.59657,2639.35,NaN,45.79,16.373991,255,19 / 27,4051,2021-03-13 18:18:02:573,,,-0.08
2.0831,7.2268,3.1794,1.5635,9.1656,3.1172,-1.7333,-2.7508,1.556,1.4763,-0.0801,1.1553,8.3916,23.4,12.54,-11.02,279.3,-69.17,-26.64,2,68.035,13.041872,77.596466,2627.95,NaN,45.58,14.265685,262.3,19 / 28,4551,2021-03-13 18:18:03:073,,,-0.095
1.6118,8.681,-1.3359,0.9262,9.4211,2.5605,2.7967,-0.0957,-1.2702,-0.4085,-0.1904,-0.287,11.1888,28.44,11.62,-5.55,259.74,-71.28,-30.93,2,65.978,13.041872,77.596466,2627.95,NaN,45.58,14.265685,262.3,19 / 28,5051,2021-03-13 18:18:03:573,,,-0.08
-0.4831,7.2288,5.4534,0.2583,9.1597,3.4933,-2.5473,-1.7255,1.8078,0.0229,-0.0432,0.5145,11.1888,24.35,15.85,-10.34,304.38,-70.45,3.18,2,68.86,13.041871,77.59637,2614.46,NaN,46.12,14.036849,263.4,20 / 29,5551,2021-03-13 18:18:04:073,,,-0.095
-0.205,8.3092,3.5193,1.6928,9.0765,3.3049,-1.4916,-0.4306,0.5382,-0.2779,0.3819,-0.3879,11.1888,26.92,12.21,-12.46,271.31,-67.35,-32.3,2,68.249,13.041871,77.59637,2614.46,NaN,46.12,14.036849,263.4,20 / 29,6050,2021-03-13 18:18:04:572,,,-0.08
1.3399,9.8654,0.5212,1.5826,9.0262,3.492,-1.3274,-1.8175,1.625,0.9294,0.05,-0.0372,8.3916,27.66,11.04,-12.99,278.4,-66.99,-24.38,2,66.233,13.041879,77.59625,2598.05,NaN,45.36,13.768473,272.8,21 / 29,6551,2021-03-13 18:18:05:073,,,-0.095
1.7564,9.1239,1.7381,2.0015,9.1101,3.0282,-0.95,-0.8037,-0.3386,-0.0691,-0.0958,-0.0151,8.3916,27.8,11.17,-13.66,275.67,-66.68,-29.05,2,67.539,13.041879,77.59625,2598.05,NaN,45.36,13.768473,272.8,21 / 29,7051,2021-03-13 18:18:05:573,,,-0.085
1.5153,9.3192,3.6407,1.8406,8.9709,3.5079,-0.3763,0.7507,-0.1589,-0.1476,-0.0323,-0.0366,11.1888,27.43,11.45,-14.64,277.22,-67.01,-29.82,2,66.217,13.041877,77.59616,2595.93,NaN,41,12.90037,271.1,21 / 30,7551,2021-03-13 18:18:06:073,,,-0.09
1.1476,9.4129,2.8401,1.7135,8.8385,3.8878,-0.8519,0.4778,-1.3602,-0.4538,-0.0389,-0.01,11.1888,27.91,11.54,-13.34,280.5,-64.75,-23.66,2,68.553,13.041877,77.59616,2595.93,NaN,41,12.90037,271.1,21 / 30,8051,2021-03-13 18:18:06:573,,,-0.09
0.7153,7.9135,4.4807,1.4738,8.7933,4.0836,-0.7131,1.1767,-1.8259,0.3466,0.1406,0.0169,11.1888,27.46,12.03,-13.84,284.9,-64.63,-21.34,2,65.113,13.04188,77.596054,2597.79,NaN,43.99,12.488211,270.8,22 / 30,8551,2021-03-13 18:18:07:073,,,-0.1
0.9725,8.3527,4.1726,1.495,8.8089,4.0421,-0.5364,-0.2169,1.1219,0.0896,0.0071,0.0172,8.3916,28.1,11.53,-13.37,284.36,-63.2,-19.78,2,68.278,13.04188,77.596054,2597.79,NaN,43.99,12.488211,270.8,22 / 30,9051,2021-03-13 18:18:07:573,,,-0.085
1.0584,9.5436,3.1373,1.4938,8.7876,4.0885,-0.1384,0.3292,-0.7954,-0.2944,0.0041,-0.1009,11.1888,28.2,10.86,-13.44,283.2,-63.65,-20.07,2,67.779,13.041893,77.595955,2594.74,NaN,41.47,12.226105,272.3,22 / 30,9551,2021-03-13 18:18:08:073,,,-0.105
0.9359,9.074,3.7047,1.5,8.7723,4.1192,0.1799,0.7978,-0.7524,-0.1945,-0.0972,-0.0448,8.3916,27.26,11.95,-13.75,286.38,-63.45,-20.01,2,69.267,13.041893,77.595955,2594.74,NaN,41.47,12.226105,272.3,22 / 30,10051,2021-03-13 18:18:08:573,,,-0.09
0.4499,8.4556,1.3465,1.6338,9.3734,2.3748,-0.8567,0.269,-1.2661,-0.8024,-2.5241,-0.4693,13.986,14.07,14.29,-26.6,303.54,-72.91,-34.53,2,70.64,13.041891,77.59584,2597.59,NaN,42.95,12.226105,271.5,22 / 30,10551,2021-03-13 18:18:09:073,,,-0.045
0.9654,9.2262,0.5137,1.7201,9.6326,0.6515,-0.4382,-0.1639,0.5316,0.6672,-0.0842,-0.0268,27.972,-1.91,13.54,-30.56,310.04,-78.31,-57.12,2,71.141,13.041891,77.59584,2597.59,NaN,42.95,12.226105,271.5,22 / 30,11051,2021-03-13 18:18:09:573,,,0.005
2.2818,8.0534,2.6349,2.285,9.2348,2.3806,-1.3889,-1.9018,0.8658,-0.4379,5.9858,1.7015,13.986,16.86,11.7,-26.06,289.33,-70.34,-43.83,2,66.883,13.041904,77.595726,2591.04,NaN,42.34,12.226105,271.3,22 / 30,11551,2021-03-13 18:18:10:073,,,0.015
2.0116,9.756,2.2169,1.7245,9.149,3.0809,-0.2385,0.4692,-0.5385,0.0107,-0.2429,-0.0711,19.5804,30.32,8.38,-11.96,268.17,-68.9,-29.24,2,70.419,13.041904,77.595726,2591.04,NaN,42.34,12.226105,271.3,22 / 30,12052,2021-03-13 18:18:10:574,,,0.045
2.6621,9.1174,-0.408,1.6985,9.6559,0.2197,0.4632,0.194,-1.4784,-1.2057,-1.5726,-0.179,22.3776,6.47,9.59,-31.07,269.64,-79.94,-82.63,2,68.994,13.041903,77.59563,2591.57,NaN,40.79,12.226105,270.5,21 / 30,12551,2021-03-13 18:18:11:073,,,0.155
2.2674,8.7453,2.0935,1.9969,9.4612,1.6333,0.8815,0.1721,0.6814,0.0543,-0.0711,0.0097,16.7832,-1.53,14.98,-29.82,317.07,-74.49,-50.99,2,69.23,13.041903,77.59563,2591.57,NaN,40.79,12.226105,270.5,21 / 30,13050,2021-03-13 18:18:11:572,,,0.14
2.7989,9.165,3.3784,2.0135,9.4897,1.4356,-0.3713,0.2565,0.5257,-0.1329,-0.0565,0.1327,16.7832,-2.18,14.19,-30.45,313.34,-75.39,-54.51,2,69.232,13.041902,77.59552,2589.77,NaN,43.31,12.226105,271.6,21 / 31,13551,2021-03-13 18:18:12:073,,,0.045
2.0776,8.5199,2.3698,1.9787,9.4909,1.4761,0.4995,-0.832,1.3776,0.2281,-0.1294,-0.1027,19.5804,-2.31,13.61,-31.18,314.22,-75.42,-53.28,2,66.735,13.041902,77.59552,2589.77,NaN,43.31,12.226105,271.6,21 / 31,14051,2021-03-13 18:18:12:573,,,0.005
1.9705,8.154,1.5849,2.2067,9.4765,1.2235,0.7317,-1.042,0.8961,0.1131,-0.0396,0.0282,16.7832,-2.87,13.15,-30.21,308.82,-75.09,-60.99,2,68.103,13.041904,77.595406,2587.44,NaN,42.59,12.226105,271.5,22 / 31,14551,2021-03-13 18:18:13:073,,,-0.04
0.9342,9.1557,1.1208,2.272,9.4568,1.2558,-0.7299,-0.3724,0.1926,-0.204,0.0528,0.3017,16.7832,-3.92,13.22,-30.54,310.97,-74.35,-60.28,2,68.662,13.041904,77.595406,2587.44,NaN,42.59,12.226105,271.5,22 / 31,15051,2021-03-13 18:18:13:573,,,-0.085
0.0573,8.0538,5.3806,0.2558,8.333,5.164,0.3052,0.2274,-0.5157,-0.6269,2.0005,0.1578,11.1888,22.34,15.41,-18.6,305.88,-61.33,-13.89,2,66.328,13.041908,77.5953,2587.53,NaN,43.13,12.226105,271.4,22 / 31,15551,2021-03-13 18:18:14:073,,,-0.2
-0.0757,8.2224,4.6671,-0.2098,8.7497,4.4237,-0.5736,0.6286,-2.1052,-0.5202,0.3028,-0.0057,11.1888,28.63,14.21,-9.45,298.61,-63.15,2.72,2,67.202,13.041908,77.5953,2587.53,NaN,43.13,12.226105,271.4,22 / 31,16052,2021-03-13 18:18:14:574,,,-0.195
0.1722,8.3646,3.5087,1.1107,8.9499,3.8518,-1.4625,-1.3486,-0.7298,0.3344,-0.1384,0.7986,11.1888,30.59,7.56,-11.17,278.79,-65.87,-16.09,2,66.887,13.0419,77.595184,2577.12,NaN,43.7,12.226105,266.7,22 / 32,16550,2021-03-13 18:18:15:072,,,-0.2
2.1265,7.5869,3.5528,2.4885,8.2668,4.6517,0.0681,-1.0724,0.1527,0.1177,0.0878,-0.0904,8.3916,32.27,5.28,-10.04,264.78,-56.6,-29.21,2,66.58,13.0419,77.595184,2577.12,NaN,43.7,12.226105,266.7,22 / 32,17051,2021-03-13 18:18:15:573,,,-0.2
2.4175,7.3222,4.0529,2.5358,8.2612,4.636,0.178,-0.3057,0.0825,0.3147,0.0269,-0.0444,8.3916,31.02,5.64,-10.4,267.69,-56.21,-27.74,2,67.696,13.041894,77.59506,2578.22,NaN,42.73,12.226105,267.6,23 / 32,17551,2021-03-13 18:18:16:073,,,-0.24
2.4743,7.3383,3.926,2.5685,8.2121,4.7047,0.174,-0.8243,-0.3754,0.0639,0.0209,-0.0421,5.5944,31.68,6.02,-9.94,267.36,-55.5,-27.61,2,67.488,13.041894,77.59506,2578.22,NaN,42.73,12.226105,267.6,23 / 32,18051,2021-03-13 18:18:16:573,,,-0.13
2.818,8.3691,4.7663,2.6889,8.2507,4.5679,0.1666,0.8269,-0.107,-0.1246,0.0215,0.0296,5.5944,30.94,6.03,-11.32,266.43,-57.28,-30.48,2,68.829,13.041898,77.59496,2574.01,NaN,39.56,12.226105,269.5,23 / 32,18551,2021-03-13 18:18:17:073,,,0.34
2.7216,8.3068,5.307,2.8542,8.1657,4.6202,-0.4641,0.5856,-0.4347,0.0723,-0.1249,0.071,8.3916,31.24,5.79,-12.02,267.74,-56.89,-30.61,2,67.356,13.041898,77.59496,2574.01,NaN,39.56,12.226105,269.5,23 / 32,19051,2021-03-13 18:18:17:573,,,1.155
3.0472,7.8297,5.9039,2.9409,7.99,4.8663,0.0544,0.8853,0.0334,-0.1949,-0.0125,-0.0998,8.3916,31.75,5.95,-13.41,266.18,-56.42,-33.29,2,70.693,13.041898,77.59486,2567.67,NaN,37.66,12.226105,270,23 / 32,19551,2021-03-13 18:18:18:073,,,1.47
2.4158,7.9156,5.5184,2.9734,7.9315,4.9418,-0.0277,-0.1084,0.9545,0.2263,-0.1933,0.0608,11.1888,31.23,8.73,-13.97,274.69,-53.14,-29.83,2,68.814,13.041898,77.59486,2567.67,NaN,37.66,12.226105,270,23 / 32,20051,2021-03-13 18:18:18:573,,,-0.155
3.291,7.3099,5.2598,3.1198,7.9461,4.8266,0.1643,-0.2255,1.1991,-0.1875,-0.07,0.0249,5.5944,30.66,7.54,-15.73,273.01,-53.86,-33.2,2,67.31,13.041899,77.59476,2568.43,NaN,36.32,12.226105,269.4,23 / 32,20552,2021-03-13 18:18:19:074,,,-0.825
3.9022,8.9707,5.8621,3.2138,7.7734,5.0414,0.4681,1.4262,-0.6604,-0.4711,0.1644,-0.0176,1.8648,30.6,6.29,-16.1,271.39,-54.69,-32.59,2,68.333,13.041899,77.59476,2568.43,NaN,36.32,12.226105,269.4,23 / 32,21050,2021-03-13 18:18:19:572,,,-0.59
3.4658,8.9844,4.9568,2.8761,7.9438,4.9794,-0.0121,0.9777,-0.563,-0.2947,0.0165,0.028,8.3916,32.71,6.39,-15.76,272.24,-55.3,-29.63,2,68.52,13.041895,77.59468,2568.01,NaN,35.03,12.226105,268.7,23 / 32,21551,2021-03-13 18:18:20:073,,,-0.35
2.2558,7.2668,6.6341,2.5996,7.5298,5.7196,-0.2357,-0.1233,0.6595,-0.2789,-0.084,-0.0534,11.1888,32.3,6.25,-13.19,274.58,-50.16,-24.44,2,69.673,13.041895,77.59468,2568.01,NaN,35.03,12.226105,268.7,23 / 32,22051,2021-03-13 18:18:20:573,,,-0.155
3.2876,8.0544,5.268,3.0819,7.485,5.536,-1.1205,-0.1358,0.2292,0.0599,0.1372,-0.0529,16.7832,31.86,7.03,-12.74,276.17,-47.73,-24.3,2,65.928,13.041904,77.5946,2568.6,NaN,33.62,12.226105,274.3,24 / 32,22551,2021-03-13 18:18:21:073,,,-0.17
2.4613,6.8984,4.9233,3.2743,7.518,5.3785,0.154,-0.3736,0.65,0.0795,0.6914,-0.0224,13.986,30.05,6.96,-15.14,274.04,-50.05,-31.33,2,65.129,13.041904,77.5946,2568.6,NaN,33.62,12.226105,274.3,24 / 32,23051,2021-03-13 18:18:21:573,,,-0.14
2.2965,8.1854,4.3952,2.5007,7.8054,5.3845,0.1232,0.3038,-0.0746,-0.0035,-0.0212,-0.0348,16.7832,33.02,6.39,-10.34,269.64,-52.74,-24.91,2,63.731,13.041906,77.59452,2565.14,NaN,30.56,12.226105,263.8,22 / 32,23552,2021-03-13 18:18:22:074,,,-0.155
2.8198,8.1553,5.3142,2.5742,7.7062,5.4917,0.3163,0.4232,-0.3872,-0.1146,-0.02,-0.013,13.986,31.27,3.77,-10.76,269.93,-51.8,-25.12,2,66.982,13.041906,77.59452,2565.14,NaN,30.56,12.226105,263.8,22 / 32,24051,2021-03-13 18:18:22:573,,,-0.115
3.1077,8.1974,8.326,2.5046,7.3036,6.0461,0.6936,1.9217,1.3675,-0.475,-0.0183,-0.0725,13.986,32,7.58,-13.42,278.5,-48.14,-22.5,2,70.127,13.041905,77.59444,2569.85,NaN,29.63,12.226105,266.7,23 / 32,24550,2021-03-13 18:18:23:072,,,-0.125
1.2544,7.971,4.0768,2.5968,7.6537,5.5541,-0.4937,-1.4107,-0.3357,-0.0229,0.1769,-0.0202,13.986,32.08,8.86,-14.75,280.38,-50.92,-23.44,2,68.878,13.041905,77.59444,2569.85,NaN,29.63,12.226105,266.7,23 / 32,25050,2021-03-13 18:18:23:572,,,-0.09
2.5119,7.1867,6.3526,2.7281,7.7285,5.385,-0.0036,-0.6443,-1.8725,-0.279,-0.1316,0.196,11.1888,33.04,7.8,-12.33,272.64,-52.01,-26.87,2,69.313,13.041907,77.594376,2570.5,NaN,28.33,12.226105,273.1,22 / 32,25551,2021-03-13 18:18:24:073,,,-0.095
3.0657,8.9112,5.2181,3.1262,7.7602,5.1163,-0.4723,0.483,-0.5904,-0.0149,-0.2662,0.0193,13.986,31.7,7.78,-16.07,274,-52.31,-31.43,2,65.764,13.041907,77.594376,2570.5,NaN,28.33,12.226105,273.1,22 / 32,26052,2021-03-13 18:18:24:574,,,-0.065
3.5794,7.4816,4.3966,3.385,7.7071,5.0312,-0.0866,-0.0945,-0.2913,-0.0657,0.0276,-9.00E-04,16.7832,31.67,7.18,-16.54,272.18,-51.8,-33.93,2,67.985,13.041911,77.59431,2572.96,NaN,27.54,12.226105,273.1,21 / 32,26551,2021-03-13 18:18:25:073,,,-0.055
3.6717,7.762,4.6039,3.2497,7.6568,5.1945,0.3856,0.0985,-0.42,0.012,0.0208,-0.0488,11.1888,31.5,7.39,-15.57,273.57,-50.99,-32.04,2,66.187,13.041911,77.59431,2572.96,NaN,27.54,12.226105,273.1,21 / 32,27052,2021-03-13 18:18:25:574,,,-0.015
2.2366,7.6669,3.8689,2.9799,7.8658,5.0417,-0.5447,-0.0998,-1.2079,0.2541,-0.0033,-0.0802,11.1888,31.7,8.54,-15.03,274.55,-52.74,-30.51,2,65.682,13.041915,77.59424,2573.43,NaN,27.07,12.226105,274,21 / 32,27551,2021-03-13 18:18:26:073,,,-0.005
3.1248,7.4857,4.687,3.063,7.7789,5.1261,0.1319,-0.1377,-0.353,0.0511,-0.0301,-0.0355,11.1888,32.48,9.36,-15.99,275.37,-52.49,-30.86,2,66.213,13.041915,77.59424,2573.43,NaN,27.07,12.226105,274,21 / 32,28051,2021-03-13 18:18:26:573,,,0.035
2.8177,7.8355,4.6979,3.0498,7.7948,5.1099,-0.1955,0.1127,0.0649,-0.0342,0.0497,0.034,11.1888,32.22,8.57,-15.95,275.36,-52.64,-30.83,2,62.548,13.041922,77.59416,2575.28,NaN,28.04,12.226105,276.2,20 / 32,28550,2021-03-13 18:18:27:072,,,0.045
0.3856,7.986,0.604,0.701,9.7804,0.153,-0.3337,-1.8927,2.2222,-0.525,1.1157,0.2755,16.7832,-11.06,11.48,-33.16,285.83,-85.08,-94.04,2,65.021,13.041922,77.59416,2575.28,NaN,28.04,12.226105,276.2,20 / 32,29050,2021-03-13 18:18:27:572,,,0.09
1.9599,9.8449,0.0099,1.5502,9.6738,0.4305,0.186,0.0856,-0.4684,-0.1517,0.1733,0.044,11.1888,-2,11.83,-35.02,294.31,-80.7,-71.59,2,64.949,13.041925,77.59408,2576.33,NaN,30.17,12.46824,276.6,19 / 32,29551,2021-03-13 18:18:28:073,,,0.11
2.1326,8.6287,3.178,1.5244,8.3082,4.9821,0.5128,0.3436,-1.3126,0.2008,0.5658,0.1059,8.3916,30.37,13.48,-14.57,289.03,-57.83,-17.44,2,64.513,13.041925,77.59408,2576.33,NaN,30.17,12.46824,276.6,19 / 32,30052,2021-03-13 18:18:28:574,,,0.15
0.4985,6.8242,8.1697,0.2864,6.7812,7.0784,0.6567,0.1837,2.3617,-0.8689,2.3443,0.9225,4.662,27.97,22.01,-9.81,307.81,-43.75,-2.32,2,62.706,13.041937,77.593994,2578.72,NaN,32.94,12.226105,278.9,19 / 32,30551,2021-03-13 18:18:29:073,,,0.18
0.1555,7.2469,6.8988,1.6601,7.7138,5.8234,-1.4714,-1.0654,2.3983,0.2492,-0.3418,-0.068,11.1888,27.04,19.39,-17.76,311.11,-45.94,-4.27,2,63.309,13.041937,77.593994,2578.72,NaN,32.94,12.226105,278.9,19 / 32,31050,2021-03-13 18:18:29:572,,,0.205
2.1819,7.2972,6.4815,2.1267,7.5291,5.9127,-0.2427,0.6707,-1.6549,0.0425,-0.0854,0.1148,11.1888,26.07,19.2,-18.35,306.95,-47.03,-11.88,2,62.216,13.041943,77.5939,2583.16,NaN,31.14,12.226105,283.7,21 / 32,31551,2021-03-13 18:18:30:073,,,0.225
2.5444,7.4306,5.6778,1.5655,7.4922,6.1308,0.8172,0.0656,-0.9413,-0.1104,0.1453,0.0573,11.1888,27.28,18.22,-18.23,301.55,-51.55,-15.88,2,67.027,13.041943,77.5939,2583.16,NaN,31.14,12.226105,283.7,21 / 32,32051,2021-03-13 18:18:30:573,,,0.23
0.4855,7.3287,5.5625,1.097,7.8898,5.72,0.2638,-0.0899,-0.4922,-0.1623,0.0295,-0.0999,11.1888,26.14,18.25,-17.88,305.94,-53.57,-10.86,2,67.669,13.041966,77.59383,2588.92,NaN,34.74,12.226105,286,21 / 32,32552,2021-03-13 18:18:31:074,,,0.22
1.4616,7.131,5.5885,1.2585,7.8628,5.7239,-0.1301,-0.3482,-0.702,0.0147,-0.014,-0.0044,11.1888,25.74,17.76,-20.47,307.19,-54.06,-11.3,2,67.045,13.041966,77.59383,2588.92,NaN,34.74,12.226105,286,21 / 32,33051,2021-03-13 18:18:31:573,,,0.235
1.1415,7.4022,4.5269,1.3369,7.933,5.6081,0.3649,-0.3659,-0.2029,-0.1247,-0.0402,-0.0134,6.5268,24.75,20.29,-21.15,308.32,-54.11,-14.24,2,68.284,13.04199,77.59373,2590.53,NaN,36.65,12.226105,288.4,21 / 32,33551,2021-03-13 18:18:32:073,,,0.23
1.3655,7.3673,3.0412,1.2231,8.1001,5.391,0.1819,-0.9045,-1.2106,-0.2809,-0.0946,-0.1186,11.1888,26.31,20.19,-21.51,308.3,-54.42,-13.62,2,64.35,13.04199,77.59373,2590.53,NaN,36.65,12.226105,288.4,21 / 32,34051,2021-03-13 18:18:32:573,,,0.2
1.2868,6.1416,3.8107,1.2528,8.2066,5.2204,-0.0494,-1.343,-0.5009,0.0958,-0.0375,0.0402,11.1888,25.78,21.77,-23.19,310.67,-55.05,-12.95,2,66.992,13.042017,77.59365,2594.07,NaN,36.07,12.226105,290.6,21 / 32,34559,2021-03-13 18:18:33:081,,,0.17
-0.2074,7.4374,2.3476,-1.9031,9.0378,3.2966,0.1307,-1.0037,0.8651,0.1739,-0.5517,0.3382,11.1888,28.04,19.99,-14.04,323.53,-58.69,19.19,0,65.894,13.042017,77.59365,2594.07,NaN,36.07,12.226105,290.6,21 / 32,35052,2021-03-13 18:18:33:574,,,0.12
0.7342,7.2818,4.8723,1.3144,7.5863,6.0738,-0.7797,-0.6221,0.1537,0.6723,-0.017,0.2725,13.986,24.85,25.09,-20.49,313.15,-50.68,-12.21,2,67.01,13.042051,77.59356,2598.06,NaN,35.5,12.226105,295.8,21 / 32,35551,2021-03-13 18:18:34:073,,,0.075
1.9333,7.1201,4.6948,1.7747,7.7134,5.79,0.1276,-0.5324,-1.3196,-0.2726,0.3497,-0.1774,11.1888,23.75,20.08,-21.92,308.48,-51.86,-17.04,2,64.232,13.042051,77.59356,2598.06,NaN,35.5,12.226105,295.8,21 / 32,36051,2021-03-13 18:18:34:573,,,0.04
1.0741,8.1824,4.8303,1.4042,7.7742,5.8103,0.0588,0.3793,-1.3509,-0.5165,-0.0286,-0.0549,13.986,25.15,21.05,-18.98,308.38,-52.44,-13.59,2,62.743,13.042075,77.593475,2598.78,NaN,38.2,12.226105,288.5,21 / 32,36551,2021-03-13 18:18:35:073,,,0.02
1.2229,8.5439,6.9241,1.2066,7.7183,5.928,-0.0821,0.9225,0.6233,-0.3357,-0.0407,-0.0218,13.986,24.89,21.91,-21.55,311.97,-53.72,-12.1,2,62.475,13.042075,77.593475,2598.78,NaN,38.2,12.226105,288.5,21 / 32,37051,2021-03-13 18:18:35:573,,,0.005
1.1271,7.3273,3.7574,1.1199,7.8769,5.7333,0.0856,-1.1743,-1.487,-0.477,-0.1587,-0.1249,13.986,23.99,21.87,-19.99,312.59,-53.44,-11.05,2,65.205,13.042105,77.59339,2600.47,NaN,35.82,12.226105,289.3,19 / 32,37552,2021-03-13 18:18:36:074,,,-0.005
0.7492,7.2911,6.0896,1.0457,7.724,5.9512,-0.2852,0.0055,0.0248,-0.0408,0.0092,-0.0034,11.1888,22.68,21.68,-19.73,314.8,-51.96,-9.97,2,65.533,13.042105,77.59339,2600.47,NaN,35.82,12.226105,289.3,19 / 32,38051,2021-03-13 18:18:36:573,,,-0.005
0.4489,7.6977,6.4278,1.0683,7.7266,5.9439,-0.1138,-0.0461,0.8716,0.0138,-0.1883,0.0075,13.986,21.27,23.08,-21.13,318.46,-51.99,-10.19,2,66.349,13.042138,77.593285,2601.58,NaN,39.46,12.226105,287.2,19 / 32,38551,2021-03-13 18:18:37:073,,,-0.01
0.8337,7.3738,5.7684,1.0364,7.7498,5.9192,0.3547,-0.1904,-0.26,-0.0176,0.0838,-0.0596,13.986,21.64,22.73,-21.13,316.58,-52.91,-10.87,2,65.378,13.042138,77.593285,2601.58,NaN,39.46,12.226105,287.2,19 / 32,39051,2021-03-13 18:18:37:573,,,-0.015
0.6439,7.3403,5.527,0.9694,7.72,5.9693,-0.0826,0.2894,0.6538,-0.041,0.0135,-0.0149,11.1888,24.1,21.68,-18.57,313.42,-51.93,-9.22,2,65.007,13.042165,77.59319,2603.43,NaN,38.48,12.226105,287.6,18 / 32,39551,2021-03-13 18:18:38:073,,,-0.01
0.5577,7.4186,6.4935,0.91,7.7393,5.9537,-0.0415,0.0451,-0.6753,0.0454,-0.0119,-0.025,13.986,21.52,21.66,-21.15,317.58,-52.11,-8.69,2,63.467,13.042165,77.59319,2603.43,NaN,38.48,12.226105,287.6,18 / 32,40051,2021-03-13 18:18:38:573,,,0
1.0331,7.432,5.4172,0.9459,7.6778,6.0271,-0.039,-0.2254,-0.9429,-0.1854,-0.0101,-0.0405,11.1888,20.57,20.85,-18.63,316.78,-51.53,-8.92,2,64.045,13.042202,77.5931,2603.62,NaN,39.42,12.226105,288.9,19 / 30,40551,2021-03-13 18:18:39:073,,,-0.005
0.9366,7.2056,5.1309,0.9233,7.6328,6.0875,-0.1922,-0.2274,0.3154,-0.0759,-0.0116,-0.012,13.986,21.31,25.6,-17.61,319.92,-50.56,-8.54,2,65.092,13.042202,77.5931,2603.62,NaN,39.42,12.226105,288.9,19 / 30,41051,2021-03-13 18:18:39:573,,,-0.02
